0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:46:02 +0900] "GET /controller/resources/mvImage/1.jpg HTTP/1.1" 200 93556
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:46:02 +0900] "GET /controller/resources/mvImage/4.jpg HTTP/1.1" 200 84888
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:46:02 +0900] "GET /controller/resources/mvImage/3.jpg HTTP/1.1" 200 145710
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:46:02 +0900] "GET /controller/resources/mvImage/5.jpg HTTP/1.1" 200 164134
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:46:14 +0900] "GET /controller/index.do HTTP/1.1" 200 5625
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:46:14 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:46:14 +0900] "GET /controller/movie/movieList1_5 HTTP/1.1" 200 2519
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:46:16 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:46:58 +0900] "GET /controller/index.do HTTP/1.1" 200 5625
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:46:58 +0900] "GET /controller/resources/css/style.css HTTP/1.1" 200 7867
0:0:0:0:0:0:0:1 - - [06/Dec/2023:09:46:58 +0900] "GET /controller/movie/movieList1_5 HTTP/1.1" 200 2519
